id,word,level
1,ask,1
2,say,1
3,act,1
4,ice,1
5,son,1
6,pay,1
7,row,1
8,hoe,1
9,but,1
10,out,1
11,the,1
12,two,1
13,end,1
14,add,1
15,eat,1
16,few,1
17,let,1
18,run,1
19,ago,1
20,ran,1
21,job,1
22,bed,1
23,buy,1
24,art,1
25,gas,1
26,fit,1
27,hat,1
28,age,1
29,bad,1
30,key,1
31,hit,1
32,him,1
33,not,1
34,use,1
35,sat,1
36,sky,1
37,God,1
38,lie,1
39,led,1
40,sir,1
41,can,1
42,for,1
43,his,1
44,now,1
45,was,1
46,man,1
47,sea,1
48,red,1
49,top,1
50,war,1
51,lay,1
52,sum,1
53,cat,1
54,lot,1
55,per,1
56,bit,1
57,law,1
58,fun,1
59,fig,1
60,gun,1
61,win,1
62,and,1
63,how,1
64,see,1
65,big,1
66,new,1
67,got,1
68,low,1
69,are,1
70,get,1
71,she,1
72,way,1
73,boy,1
74,off,1
75,put,1
76,why,1
77,own,1
78,dog,1
79,map,1
80,war,1
81,day,1
82,men,1
83,old,1
84,too,1
85,fly,1
86,did,1
87,had,1
88,one,1
89,you,1
90,any,1
91,try,1
92,cut,1
93,far,1
94,box,1
95,dry,1
96,hot,1
97,yes,1
98,has,1
99,may,1
100,our,1
101,sun,1
102,six,1
103,ten,1
104,yet,1
105,been,1
106,down,1
107,have,1
108,more,1
109,that,1
110,when,1
111,does,1
112,help,1
113,move,1
114,over,1
115,such,1
116,book,1
117,feet,1
118,hear,1
119,left,1
120,song,1
121,took,1
122,cold,1
123,five,1
124,ship,1
125,sure,1
126,upon,1
127,able,1
128,full,1
129,size,1
130,bill,1
131,wall,1
132,wild,1
133,beat,1
134,gold,1
135,lake,1
136,trip,1
137,else,1
138,cook,1
139,loud,1
140,rich,1
141,send,1
142,tone,1
143,nose,1
144,rope,1
145,view,1
146,each,1
147,away,1
148,here,1
149,line,1
150,much,1
151,page,1
152,take,1
153,very,1
154,both,1
155,high,1
156,next,1
157,soon,1
158,tree,1
159,easy,1
160,I’ll,1
161,game,1
162,noun,1
163,arms,1
164,blue,1
165,love,1
166,root,1
167,site,1
168,hair,1
169,poor,1
170,sail,1
171,snow,1
172,tall,1
173,type,1
174,cool,1
175,lost,1
176,save,1
177,team,1
178,army,1
179,blow,1
180,safe,1
181,cows,1
182,huge,1
183,rose,1
184,shop,1
185,care,1
186,copy,1
187,died,1
188,hill,1
189,iron,1
190,lead,1
191,soil,1
192,cost,1
193,fell,1
194,wear,1
195,yard,1
196,bell,1
197,flat,1
198,mall,1
